sofascore_slug,transfermarkt_url,lig,sezon,etiket
amadou-onana/923973,https://www.transfermarkt.com/amadou-onana/profil/spieler/485706,Premier League,22/23,Central Midfield
amine-adli/991478,https://www.transfermarkt.com/amine-adli/profil/spieler/532776,Ligue 2,20/21,Second Striker
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,J1 League,2020,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,J1 League,2019,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,16/17,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,15/16,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,14/15,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,13/14,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,12/13,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,11/12,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,10/11,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,09/10,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,07/08,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,06/07,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,LaLiga,05/06,Central Midfield
andre/1035996,https://www.transfermarkt.com/andres-iniesta/profil/spieler/7600,J1 League,2021,Attacking Midfield
andres-garcia/1457536,https://www.transfermarkt.com/andres-garcia/profil/spieler/1063329,LaLiga2,24/25,Right-Back
andy-irving/845464,https://www.transfermarkt.com/andrew-irving/profil/spieler/430310,Bundesliga,23/24,Central Midfield
andy-irving/845464,https://www.transfermarkt.com/andrew-irving/profil/spieler/430310,Bundesliga,22/23,Central Midfield
anthony-elanga/979232,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Premier League,24/25,Right Winger
anthony-elanga/979232,https://www.transfermarkt.com/anthony-elanga/profil/spieler/583189,Premier League,23/24,Right Winger
antoine-semenyo/934354,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Championship,21/22,Centre-Forward
antoine-semenyo/934354,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Premier League,24/25,Right Winger
antoine-semenyo/934354,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Premier League,23/24,Right Winger
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,Bundesliga,24/25,Defensive Midfield
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,Bundesliga,23/24,Defensive Midfield
anton-stach/889861,https://www.transfermarkt.com/anton-stach/profil/spieler/344069,Bundesliga,22/23,Defensive Midfield
