sofascore_slug,transfermarkt_url
caoimhin-kelleher/827362,https://www.transfermarkt.com/caoimhin-kelleher/profil/spieler/340918
carl-junior-robinson/2064342,https://www.transfermarkt.com/junior-robinson/profil/spieler/670841
carlos-alcaraz/1017392,https://www.transfermarkt.com/carlos-alcaraz/profil/spieler/748319
casemiro/122951,https://www.transfermarkt.com/casemiro/profil/spieler/16306
chadi-riad/1064218,https://www.transfermarkt.com/chadi-riad/profil/spieler/689637
cheick-doucoure/906047,https://www.transfermarkt.com/cheick-doucoure/profil/spieler/543387
chemsdine-talbi/1142675,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384
chido-obi/1566204,https://www.transfermarkt.com/chido-obi/profil/spieler/1042886
chris-richards/931844,https://www.transfermarkt.com/chris-richards/profil/spieler/578539
chris-rigg/1394089,https://www.transfermarkt.com/chris-rigg/profil/spieler/947411
chris-wood/50480,https://www.transfermarkt.com/chris-wood/profil/spieler/108725
christantus-uche/1884145,https://www.transfermarkt.com/christantus-uche/profil/spieler/1124005
christian-norgaard/135256,https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367
cody-gakpo/862967,https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675
cole-palmer/982780,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177
connor-roberts/804613,https://www.transfermarkt.com/connor-roberts/profil/spieler/214666
cristhian-mosquera/1144630,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750
cristian-romero/829932,https://www.transfermarkt.com/cristian-romero/profil/spieler/355915
crysencio-summerville/917005,https://www.transfermarkt.com/crysencio-summerville/profil/spieler/474701
curtis-jones/927353,https://www.transfermarkt.com/curtis-jones/profil/spieler/433188
daichi-kamada/794338,https://www.transfermarkt.com/daichi-kamada/profil/spieler/356141
damsgaard-mikkel/907072,https://www.transfermarkt.com/mikkel-damsgaard/profil/spieler/540941
dan-burn/99090,https://www.transfermarkt.com/dan-burn/profil/spieler/134270
dan-ndoye/944327,https://www.transfermarkt.com/dan-ndoye/profil/spieler/365108
dan-neil/964106,https://www.transfermarkt.com/dan-neil/profil/spieler/570336
dango-ouattara/1106451,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231
daniel-bentley/101367,https://www.transfermarkt.com/daniel-bentley/profil/spieler/136401
daniel-james/828639,https://www.transfermarkt.com/daniel-james/profil/spieler/319301
daniel-munoz/870360,https://www.transfermarkt.com/daniel-munoz/profil/spieler/493003
danny-welbeck/33902,https://www.transfermarkt.com/danny-welbeck/profil/spieler/67063
dario-essugo/1110006,https://www.transfermarkt.com/dario-essugo/profil/spieler/670717
david-brooks/855731,https://www.transfermarkt.com/david-brooks/profil/spieler/277033
david-moller-wolfe/1031283,https://www.transfermarkt.com/david-moller-wolfe/profil/spieler/661427
david-raya/581310,https://www.transfermarkt.com/david-raya/profil/spieler/262749
dean-henderson/788134,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919
declan-rice/856714,https://www.transfermarkt.com/declan-rice/profil/spieler/357662
deivid-washington/1485371,https://www.transfermarkt.com/deivid-washington/profil/spieler/1082850
dejan-kulusevski/928124,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
dennis-cirkin/1014987,https://www.transfermarkt.com/dennis-cirkin/profil/spieler/568006
destiny-udogie/983572,https://www.transfermarkt.com/destiny-udogie/profil/spieler/556385
diallo-amad/971037,https://www.transfermarkt.com/amad-diallo/profil/spieler/536835
diego-coppola/1050692,https://www.transfermarkt.com/diego-coppola/profil/spieler/660860
diego-gomez/1065588,https://www.transfermarkt.com/diego-gomez/profil/spieler/996897
dilane-bakwa/963298,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664
diogo-dalot/843200,https://www.transfermarkt.com/diogo-dalot/profil/spieler/357147
djed-spence/945798,https://www.transfermarkt.com/djed-spence/profil/spieler/483348
dominic-solanke/361420,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
dominik-szoboszlai/869856,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276
donovan-romelle/1586020,https://www.transfermarkt.com/romelle-donovan/profil/spieler/1091562
donyell-malen/803039,https://www.transfermarkt.com/donyell-malen/profil/spieler/326029
dorde-petrovic/882604,https://www.transfermarkt.com/djordje-petrovic/profil/spieler/465555
douglas-luiz/867887,https://www.transfermarkt.com/douglas-luiz/profil/spieler/447661
dwight-mcneil/935543,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769
eberechi-eze/864921,https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999
edward-nketiah/858194,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324
eliezer-mayenda/1168588,https://www.transfermarkt.com/eliezer-mayenda/profil/spieler/967346
elliot-anderson/994546,https://www.transfermarkt.com/elliot-anderson/profil/spieler/567576
ellis-clark/1977040,https://www.transfermarkt.com/ellis-clark/profil/spieler/1147384
emil-krafth/150396,https://www.transfermarkt.com/emil-krafth/profil/spieler/184528
emile-smith-rowe/867445,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765
emiliano-buendia/783126,https://www.transfermarkt.com/emiliano-buendia/profil/spieler/321247
emiliano-martinez/158263,https://www.transfermarkt.com/emiliano-martinez/profil/spieler/111873
emmanuel-agbadou/1013842,https://www.transfermarkt.com/emmanuel-agbadou/profil/spieler/683895
enes-unal/336655,https://www.transfermarkt.com/enes-unal/profil/spieler/251106
enso-gonzalez/1402232,https://www.transfermarkt.com/enso-gonzalez/profil/spieler/1060740
enzo-fernandez/974505,https://www.transfermarkt.com/enzo-fernandez/profil/spieler/648195
enzo-le-fee/984014,https://www.transfermarkt.com/enzo-le-fee/profil/spieler/633992
erling-haaland/839956,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560
estevao/1597265,https://www.transfermarkt.com/estevao/profil/spieler/1056993
ethan-ampadu/847097,https://www.transfermarkt.com/ethan-ampadu/profil/spieler/392771
ethan-nwaneri/1401702,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719
ethan-pinnock/855864,https://www.transfermarkt.com/ethan-pinnock/profil/spieler/442248
evanilson/998490,https://www.transfermarkt.com/evanilson/profil/spieler/711337
evann-guessand/930245,https://www.transfermarkt.com/evann-guessand/profil/spieler/500689
ezri-konsa/827679,https://www.transfermarkt.com/ezri-konsa/profil/spieler/413403
fabian-schar/101882,https://www.transfermarkt.com/fabian-schar/profil/spieler/135343
fabio-carvalho/991604,https://www.transfermarkt.com/fabio-carvalho/profil/spieler/559263
facundo-buonanotte/1117025,https://www.transfermarkt.com/facundo-buonanotte/profil/spieler/983989
federico-chiesa/845386,https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092
fer-lopez/1526628,https://www.transfermarkt.com/fer-lopez/profil/spieler/1064471
ferdi-kadioglu/825844,https://www.transfermarkt.com/ferdi-kadioglu/profil/spieler/369316
filip-jorgensen/962053,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323
florentino-luis/855845,https://www.transfermarkt.com/florentino/profil/spieler/357162
florian-wirtz/1019322,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577
foster-lyle/901907,https://www.transfermarkt.com/lyle-foster/profil/spieler/467623
frank-onyeka/885864,https://www.transfermarkt.com/frank-onyeka/profil/spieler/421637
freddie-potts/1089582,https://www.transfermarkt.com/freddie-potts/profil/spieler/698164
freddie-simmonds/1546225,https://www.transfermarkt.com/freddie-simmonds/profil/spieler/1120418
freddie-woodman/284417,https://www.transfermarkt.com/freddie-woodman/profil/spieler/226049
gabriel-gudmundsson/834308,https://www.transfermarkt.com/gabriel-gudmundsson/profil/spieler/362108
gabriel-jesus/794839,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205
gabriel-magalhaes/869792,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338
gabriel-martinelli/922573,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488
gabriel-slonina/978787,https://www.transfermarkt.com/gabriel-slonina/profil/spieler/656316
george-earthy/1212165,https://www.transfermarkt.com/george-earthy/profil/spieler/697280
gianluigi-donnarumma/824509,https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858
giorgi-mamardashvili/930997,https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676
giovanni-leoni/1473137,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619
granit-xhaka/117777,https://www.transfermarkt.com/granit-xhaka/profil/spieler/111455
gruda-brajan/1198075,https://www.transfermarkt.com/brajan-gruda/profil/spieler/700106
guglielmo-vicario/553606,https://www.transfermarkt.com/guglielmo-vicario/profil/spieler/286047
guido-rodriguez/609752,https://www.transfermarkt.com/guido-rodriguez/profil/spieler/342385
gustavo-nunes/1514747,https://www.transfermarkt.com/gustavo-nunes/profil/spieler/1086375
habib-diarra/1128532,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631
hakon-rafn-valdimarsson/1005959,https://www.transfermarkt.com/hakon-valdimarsson/profil/spieler/488935
hannes-delcroix/826169,https://www.transfermarkt.com/hannes-delcroix/profil/spieler/338635
hannibal-mejbri/1009386,https://www.transfermarkt.com/hannibal/profil/spieler/607224
harrison-jones/1186076,https://www.transfermarkt.com/harrison-jones/profil/spieler/937840
harrison-reed/365802,https://www.transfermarkt.com/harrison-reed/profil/spieler/226973
harry-howell/1627806,https://www.transfermarkt.com/harry-howell/profil/spieler/1067168
harry-maguire/149380,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907
harry-tyrer/993438,https://www.transfermarkt.com/harry-tyrer/profil/spieler/574448
harry-wilson/355528,https://www.transfermarkt.com/harry-wilson/profil/spieler/279455
harvey-barnes/855647,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065
harvey-elliott/955245,https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822
hjalmar-ekdal/875360,https://www.transfermarkt.com/hjalmar-ekdal/profil/spieler/392179
hugo-bueno/1013928,https://www.transfermarkt.com/hugo-bueno/profil/spieler/698678
hugo-ekitike/1048422,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726
ian-maatsen/976263,https://www.transfermarkt.com/ian-maatsen/profil/spieler/485585
ibrahim-sangare/843754,https://www.transfermarkt.com/ibrahim-sangare/profil/spieler/375885
ibrahima-konate/826215,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119
idrissa-gueye/106337,https://www.transfermarkt.com/idrissa-gueye/profil/spieler/126665
igor-jesus/981619,https://www.transfermarkt.com/igor-jesus/profil/spieler/432164
igor-julio/842513,https://www.transfermarkt.com/igor-julio/profil/spieler/380350
igor-thiago/1016907,https://www.transfermarkt.com/igor-thiago/profil/spieler/739443
ilia-gruev/911679,https://www.transfermarkt.com/ilia-gruev/profil/spieler/381753
iliman-ndiaye/914309,https://www.transfermarkt.com/iliman-ndiaye/profil/spieler/623570
illan-meslier/906076,https://www.transfermarkt.com/illan-meslier/profil/spieler/542586
ismaila-sarr/845286,https://www.transfermarkt.com/ismaila-sarr/profil/spieler/410225
issa-diop/825719,https://www.transfermarkt.com/issa-diop/profil/spieler/272622
jack-grealish/189061,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460
jack-harrison/829570,https://www.transfermarkt.com/jack-harrison/profil/spieler/417346
jack-hinshelwood/1142315,https://www.transfermarkt.com/jack-hinshelwood/profil/spieler/867688
jackson-tchatchoua/1096210,https://www.transfermarkt.com/jackson-tchatchoua/profil/spieler/848509
jacob-bruun-larsen/809276,https://www.transfermarkt.com/jacob-bruun-larsen/profil/spieler/293281
jacob-murphy/372336,https://www.transfermarkt.com/jacob-murphy/profil/spieler/199527
jacob-ramsey/975937,https://www.transfermarkt.com/jacob-ramsey/profil/spieler/503749
jaidon-anthony/1020680,https://www.transfermarkt.com/jaidon-anthony/profil/spieler/684210
jair-paula/1170722,https://www.transfermarkt.com/jair-cunha/profil/spieler/984096
jaka-bijol/886930,https://www.transfermarkt.com/jaka-bijol/profil/spieler/371851
jamaal-lascelles/153444,https://www.transfermarkt.com/jamaal-lascelles/profil/spieler/183318
jamaldeen-jimoh/1410178,https://www.transfermarkt.com/jamaldeen-jimoh-aloba/profil/spieler/954105
james-garner/927361,https://www.transfermarkt.com/james-garner/profil/spieler/505219
james-hill/1156586,https://www.transfermarkt.com/james-hill/profil/spieler/611793
james-justin/827681,https://www.transfermarkt.com/james-justin/profil/spieler/413220
james-maddison/356398,https://www.transfermarkt.com/james-maddison/profil/spieler/294057
james-mcatee/1003334,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199
james-milner/791,https://www.transfermarkt.com/james-milner/profil/spieler/3333
james-tarkowski/145188,https://www.transfermarkt.com/james-tarkowski/profil/spieler/173504
james-trafford/980643,https://www.transfermarkt.com/james-trafford/profil/spieler/566799
james-ward-prowse/161717,https://www.transfermarkt.com/james-ward-prowse/profil/spieler/181579
jan-paul-van-hecke/962012,https://www.transfermarkt.com/jan-paul-van-hecke/profil/spieler/576314
jarrad-branthwaite/979563,https://www.transfermarkt.com/jarrad-branthwaite/profil/spieler/661053
jarrod-bowen/552884,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
jason-steele/31867,https://www.transfermarkt.com/jason-steele/profil/spieler/73564
jay-matete/998019,https://www.transfermarkt.com/jay-matete/profil/spieler/535479
jaydee-canvot/1471671,https://www.transfermarkt.com/jaydee-canvot/profil/spieler/1006411
jaydon-banel/1142573,https://www.transfermarkt.com/jaydon-banel/profil/spieler/706889
jaydon-jones/1891914,https://www.transfermarkt.com/jaydon-jones/profil/spieler/1018837
jean-clair-todibo/945217,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184
jefferson-lerma/355796,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980
jeremie-frimpong/970361,https://www.transfermarkt.com/jeremie-frimpong/profil/spieler/484547
jeremy-doku/934386,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049
jhon-arias/844096,https://www.transfermarkt.com/jhon-arias/profil/spieler/588989
joachim-andersen/362682,https://www.transfermarkt.com/joachim-andersen/profil/spieler/260827
joao-gomes/1015267,https://www.transfermarkt.com/joao-gomes/profil/spieler/735570
joao-palhinha/364612,https://www.transfermarkt.com/joao-palhinha/profil/spieler/257455
joao-pedro/975079,https://www.transfermarkt.com/joao-neves/profil/spieler/670681
joe-gomez/318927,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178
joe-willock/888550,https://www.transfermarkt.com/joe-willock/profil/spieler/340329
joe-worrall/838399,https://www.transfermarkt.com/joe-worrall/profil/spieler/415970
joel-piroe/850823,https://www.transfermarkt.com/joel-piroe/profil/spieler/369962
joel-veltman/219572,https://www.transfermarkt.com/joel-veltman/profil/spieler/111195
joelinton/560128,https://www.transfermarkt.com/joelinton/profil/spieler/333241
john-mcginn/250223,https://www.transfermarkt.com/john-mcginn/profil/spieler/193116
john-ruddy/1131,https://www.transfermarkt.com/john-ruddy/profil/spieler/29712
john-stones/152077,https://www.transfermarkt.com/john-stones/profil/spieler/186590
john-victor/840103,https://www.transfermarkt.com/john-victor/profil/spieler/432914
jordan-beyer/927175,https://www.transfermarkt.com/jordan-beyer/profil/spieler/403898
jordan-henderson/42694,https://www.transfermarkt.com/jordan-henderson/profil/spieler/61651
jordan-pickford/138530,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164
jorge-cuenca/868715,https://www.transfermarkt.com/jorge-cuenca/profil/spieler/494880
jorgen-strand-larsen/876599,https://www.transfermarkt.com/jorgen-strand-larsen/profil/spieler/429983
jorrel-hato/1153079,https://www.transfermarkt.com/jorrel-hato/profil/spieler/904802
jose-sa/252669,https://www.transfermarkt.com/jose-santamaria/profil/spieler/137457
josh-acheampong/1403050,https://www.transfermarkt.com/josh-acheampong/profil/spieler/1004708
josh-laurent/552036,https://www.transfermarkt.com/josh-laurent/profil/spieler/314241
joshua-king/1546231,https://www.transfermarkt.com/joshua-king/profil/spieler/91059
joshua-zirkzee/917007,https://www.transfermarkt.com/joshua-zirkzee/profil/spieler/435648
josko-gvardiol/964994,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959
julian-araujo/978150,https://www.transfermarkt.com/julian-araujo/profil/spieler/513970
julian-eyestone/1411132,https://www.transfermarkt.com/julian-eyestone/profil/spieler/1008553
julio-soler/1201520,https://www.transfermarkt.com/julio-soler/profil/spieler/1009658
jurrien-timber/958959,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243
justin-kluivert/851596,https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659
kaden-rodney/1185603,https://www.transfermarkt.com/kaden-rodney/profil/spieler/860078
kai-havertz/836705,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400
kalvin-phillips/786028,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749
karl-darlow/123689,https://www.transfermarkt.com/karl-darlow/profil/spieler/99397
kenny-tete/190877,https://www.transfermarkt.com/kenny-tete/profil/spieler/206746
kepa-arrizabalaga/232422,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279
kevin-schade/1006387,https://www.transfermarkt.com/kevin-schade/profil/spieler/473050
kevin/1112879,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755
kieran-trippier/69256,https://www.transfermarkt.com/kieran-trippier/profil/spieler/95810
kobbie-mainoo/1142175,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374
konstantinos-mavropanos/829022,https://www.transfermarkt.com/konstantinos-mavropanos/profil/spieler/415912
kostoulas-charalampos/1416535,https://www.transfermarkt.com/charalampos-kostoulas/profil/spieler/1060087
kota-takai/1144143,https://www.transfermarkt.com/kota-takai/profil/spieler/671108
kristoffer-ajer/576384,https://www.transfermarkt.com/kristoffer-ajer/profil/spieler/328658
kyle-walker/44614,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424
ladislav-krejci/856250,https://www.transfermarkt.com/ladislav-krejci/profil/spieler/345911
lamare-bogarde/1089388,https://www.transfermarkt.com/lamare-bogarde/profil/spieler/645686
leandro-trossard/135666,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028
leny-yoro/1153315,https://www.transfermarkt.com/leny-yoro/profil/spieler/923831
leo-fuhr-hjelde/1097848,https://www.transfermarkt.com/leo-hjelde/profil/spieler/661208
leon-diego/1900795,https://www.transfermarkt.com/leon-gomez-ferreno/profil/spieler/908101
lesley-ugochukwu/1048916,https://www.transfermarkt.com/lesley-ugochukwu/profil/spieler/711999
leuluai-marley/2237823,https://www.transfermarkt.com/marley-leuluai/profil/spieler/1092671
levi-colwill/996911,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258
lewis-cook/548188,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089
lewis-dunk/115365,https://www.transfermarkt.com/lewis-dunk/profil/spieler/148153
lewis-hall/1136730,https://www.transfermarkt.com/lewis-hall/profil/spieler/670858
lewis-miley/1400650,https://www.transfermarkt.com/lewis-miley/profil/spieler/922769
liam-delap/997087,https://www.transfermarkt.com/liam-delap/profil/spieler/610849
lisandro-martinez/859999,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762
loum-tchaouna/1004505,https://www.transfermarkt.com/loum-tchaouna/profil/spieler/607226
lucas-digne/96538,https://www.transfermarkt.com/lucas-digne/profil/spieler/126664
lucas-paqueta/839981,https://www.transfermarkt.com/lucas-paqueta/profil/spieler/444523
lucas-perri/871290,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041
lucas-pires/1136896,https://www.transfermarkt.com/lucas-pires/profil/spieler/927768
luis-guilherme/1464248,https://www.transfermarkt.com/luis-guilherme/profil/spieler/991800
lukas-nmecha/803185,https://www.transfermarkt.com/lukas-nmecha/profil/spieler/314288
lukasz-fabianski/15479,https://www.transfermarkt.com/lukasz-fabianski/profil/spieler/29692
luke-onien/365812,https://www.transfermarkt.com/luke-onien/profil/spieler/282939
luke-shaw/190839,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288
lutsharel-geertruida/856739,https://www.transfermarkt.com/lutsharel-geertruida/profil/spieler/420210
mads-hermansen/856640,https://www.transfermarkt.com/mads-hermansen/profil/spieler/400536
malachi-hardy/1471592,https://www.transfermarkt.com/malachi-hardy/profil/spieler/1108465
malick-thiaw/1014286,https://www.transfermarkt.com/malick-thiaw/profil/spieler/521964
manuel-ugarte/846425,https://www.transfermarkt.com/manuel-ugarte/profil/spieler/476701
marc-cucurella/794939,https://www.transfermarkt.com/marc-cucurella/profil/spieler/284857
marc-guehi/877994,https://www.transfermarkt.com/marc-guehi/profil/spieler/392757
marco-bizot/100390,https://www.transfermarkt.com/marco-bizot/profil/spieler/124884
marcos-senesi/830659,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781
marcus-bettinelli/257993,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648
marcus-tavernier/895576,https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434
mark-gillespie/108508,https://www.transfermarkt.com/mark-gillespie/profil/spieler/142389
mark-travers/856720,https://www.transfermarkt.com/mark-travers/profil/spieler/357658
marshall-callum/1394099,https://www.transfermarkt.com/callum-marshall/profil/spieler/953135
marshall-munetsi/894733,https://www.transfermarkt.com/marshall-munetsi/profil/spieler/414908
